87.120.106.194:8443#TR [244.24ms 0.52Mbps]
157.66.26.194:443#VN [244.31ms 1.64Mbps]
89.58.17.201:443#AT [244.36ms 0.56Mbps]
179.237.108.163:8443#CH [244.86ms 0.22Mbps]
5.42.221.131:443#EE [245.7ms 0.06Mbps]
141.227.139.175:443#CH [246.04ms 0.15Mbps]
185.114.116.181:8443#EE [246.1ms 2.86Mbps]
186.246.5.26:2053#RU [246.67ms 0.18Mbps]
185.158.248.185:2087#RO [246.73ms 0.0Mbps]
164.5.249.34:443#BG [246.79ms 0.17Mbps]
174.4.69.68:443#CA [246.79ms 0.06Mbps]
46.8.194.76:443#UZ [247.75ms 0.1Mbps]
185.203.116.174:443#BG [247.82ms 0.19Mbps]
80.211.134.75:443#IT [247.94ms 0.2Mbps]
148.113.209.22:443#CA [248.6ms 3.24Mbps]
31.40.204.243:2053#TR [249.86ms 1.3Mbps]
80.211.24.141:443#IT [250.04ms 0.05Mbps]
94.241.139.180:8443#RU [250.46ms 0.42Mbps]
188.132.174.82:2053#TR [251.6ms 0.34Mbps]
188.225.34.155:443#RU [251.67ms 1.5Mbps]
84.235.245.65:2096#AE [251.84ms 2.39Mbps]
130.195.222.215:443#AT [251.86ms 0.16Mbps]
185.146.234.91:443#IS [252.35ms 0.15Mbps]
62.60.233.121:443#TR [253.52ms 0.19Mbps]
167.104.219.81:443#TR [253.8ms 0.09Mbps]
130.94.1.150:443#TR [254.11ms 0.07Mbps]
203.202.232.211:443#TR [254.54ms 0.09Mbps]
116.212.73.46:443#ID [254.59ms 0.1Mbps]
185.223.252.104:443#BG [254.78ms 0.23Mbps]
77.83.245.48:443#TR [254.96ms 0.13Mbps]
194.154.29.81:443#CH [255.26ms 0.48Mbps]
185.181.208.241:8443#TR [255.48ms 0.05Mbps]
5.129.243.72:443#RU [255.66ms 0.34Mbps]
81.180.92.55:443#RO [255.7ms 0.12Mbps]
38.180.253.71:443#RO [255.75ms 0.06Mbps]
159.195.112.45:443#AT [255.9ms 0.09Mbps]
89.23.115.18:2087#RU [256.77ms 0.36Mbps]
45.11.181.161:443#RO [258.39ms 0.14Mbps]
40.233.116.225:443#CA [259.57ms 0.06Mbps]
91.149.242.134:443#ES [259.84ms 0.08Mbps]
5.61.27.190:2087#CA [261.31ms 2.58Mbps]
37.221.210.113:443#HU [262.4ms 0.14Mbps]
147.182.156.112:443#CA [263.33ms 0.62Mbps]
165.227.41.38:443#CA [263.49ms 0.9Mbps]
38.54.29.210:2053#GR [263.66ms 0.14Mbps]
166.1.228.218:443#CA [264.9ms 0.12Mbps]
149.104.106.219:443#BH [265.05ms 0.17Mbps]
45.86.229.28:443#ES [265.64ms 0.27Mbps]
92.118.124.18:443#IL [265.73ms 0.11Mbps]
68.183.207.130:443#CA [266.62ms 0.13Mbps]
